turn,sender,addressed,ts_ms
199,yobimapi,piupiuu_,1542731598406
200,piupiuu_,yobimapi,1542731666594
201,dweight888,,1542731757128
202,gswblew321lead,,1542731792369
203,yobimapi,yenxa,1542731815631
204,twitch_viewerer,,1542731884530
205,yobimapi,,1542731925019
206,akulatraxass,,1542731999166
207,artorix,rdulive,1542732104194
208,bercony,rdulive,1542732119818
209,enieo,,1542732132476
210,leeeroyjenkinhs,,1542732224699
211,shootingstarhs,kreestijan,1542732262259
212,bassie1rl,,1542732271037
213,kreestijan,,1542732284939
214,shootingstarhs,kreestijan,1542732320109
215,antiliani,rdulive,1542732448903
216,skeptimistccg,bassie1rl,1542732558667
217,silentrebel217,,1542732622342
218,zigg1985,,1542732632500
219,rtheeraser,,1542732681054
220,silentrebel217,,1542732728976
221,yenxa,,1542732738266
222,rubadub730,,1542732763247
223,nolimitof300,,1542732818572
224,piupiuu_,,1542732871722
225,larkin_,,1542732891955
226,billbobby21,,1542732960563
227,shootingstarhs,,1542732970739
228,dweight888,,1542732980718
229,ashof1,,1542732990166
230,yobimapi,,1542733306712
231,cagamelos,,1542733363976
232,bda01,,1542733393308
233,twt_hs,,1542733488310
234,prodyhs,,1542733488561
235,jus77om,,1542733638357
236,xpehbam1337,,1542733647935
237,badyacs,,1542733660340
238,pab0089,,1542733839089
239,witselhs,,1542733864372
240,badyacs,,1542733869141
241,f4ll007,,1542733901090
242,crazymas0n,,1542733913005
243,jrbdotter,rdulive,1542733958387
244,skeptimistccg,5exisme,1542734012143
245,baldeaglexx,,1542734056560
246,piupiuu_,,1542734075776
247,crazymas0n,,1542734190999
248,antiliani,,1542734234806
249,meblevox,,1542734270326
250,bigsithlord,rdulive,1542734379425
251,apeinsupershape,,1542734449493
252,anonymousdalek,,1542734497573
253,apeinsupershape,,1542734601207
254,twt_hs,,1542734792917
255,piupiuu_,,1542734799201
256,banditcharlie,,1542734802058
257,hsnexo,,1542734816080
258,piupiuu_,,1542734837366
259,pexxler,,1542734881017
260,bypster,,1542734881364
261,shockwave671,rdulive,1542734893607
262,einharjer627,,1542734907164
263,streamelements,,1542734917707
264,bda01,skeptimistccg,1542734955831
265,globals,,1542735044032
266,o2zy,rdulive,1542735056303
267,sinfulgamernz,,1542735123096
268,downwardcorgi,,1542735164356
269,enieo,,1542735167730
270,reseus,,1542735206617
271,zahok,,1542735271516
272,hsnexo,,1542735322574
273,hefestislovehefestislife,hsnexo,1542735348151
274,themightypcxz,,1542735352154
275,sinfulgamernz,,1542735358958
276,skeptimistccg,,1542735424910
277,apeinsupershape,,1542735438551
278,planethunter_hs,,1542735442450
279,yoinkx13,,1542735449278
280,apeinsupershape,,1542735568508
281,nachopop,,1542735692158
282,letalmaster,,1542735756132
283,impjant,,1542735768040
284,chieffaceroll,,1542735769900
285,ryotamaru601,,1542735851928
286,furienn1g,,1542735904978
287,bluemoonhs,,1542735907819
288,weebaygame,bluemoonhs,1542735986607
289,f4ll007,,1542735989191
290,sinfulgamernz,,1542735991221
291,enieo,,1542736049023
292,jupog,,1542736055755
293,skeptimistccg,,1542736086249
294,sinfulgamernz,,1542736204022
295,liusslo,,1542736207554
296,courtsiege,,1542736267622
297,slayerking666,,1542736292602
298,matthewfoulkes,,1542736408434
299,arran564,,1542736443048
300,twt_hs,,1542736608595
301,twt_hs,,1542736623503
302,twt_hs,,1542736632095
303,homardsy,,1542736646792
304,enieo,,1542736720256
305,thechrisjr,,1542736801796
306,kookn,,1542736839318
307,yaxoo0,,1542737052098
308,nadeemk92,rdulive,1542737199270
309,hsnexo,rdulive,1542737228734
310,golemist,,1542737448952
311,beastcro,rdulive,1542737516173
312,baldeaglexx,,1542737560442
313,daonlytimmeh,,1542737579796
314,wilkuq_,,1542737615503
315,pierce7d,,1542737695241
316,sabocano,rdulive,1542737796873
317,daonlytimmeh,,1542737830573
318,fatmomsarescary,,1542737967606
319,thatsadmirable,,1542738061911
320,thatsadmirable,,1542738154286
321,thatsadmirable,,1542738195417
322,badyacs,,1542738205803
323,impjant,,1542738269381
324,rainman171717,,1542738284848
325,philter,rdulive,1542738285493
326,enieo,,1542738288302
327,thatsadmirable,,1542738288566
328,sabocano,,1542738322861
329,badyacs,homardsy,1542738352467
330,sabocano,,1542738368472
331,hsnexo,,1542738368798
332,kalorienreduziert,rdulive,1542738466378
333,sonabrisa,,1542738502362
334,hsnexo,,1542738725657
335,sonabrisa,,1542738980274
336,pierce7d,,1542738987521
337,savagehs_1,rdulive,1542739169818
338,anonymousdalek,,1542739171011
339,5exisme,,1542739216000
340,mordron77,,1542739261931
341,homardsy,,1542739298981
342,ii_mageta_ii,,1542739301823
343,higgi17,,1542739320434
344,tope7,,1542739347428
345,charzuull,yobimapi,1542815140498
346,framesjanc0,,1542815190887
347,5exisme,,1542815391253
348,pixstel,rdulive,1542815405526
349,5exisme,,1542815629699
350,nudnud9,,1542815912904
351,ragohb,,1542816113939
352,daonlytimmeh,,1542816227221
353,skiccho,,1542816233959
354,ultima_21,rdulive,1542816279308
355,kiixxx,,1542816292186
356,nein9nine,,1542816349439
357,framesjanc0,,1542816368438
358,pepye,,1542816376727
359,smoore_23,,1542816445746
360,skiccho,,1542816455720
361,nein9nine,,1542816475307
362,not_cr1tikal,rdulive,1542816498596
363,arran564,rdulive,1542816521161
364,yenxa,,1542816566671
365,philter,,1542816690938
366,themightypcxz,,1542816746523
367,heliummuppet,,1542816780456
368,kiixxx,,1542816790113
369,philter,,1542816837708
370,nudnud9,,1542816899532
371,artibeer,,1542816922473
372,trahalshik1039,,1542816993726
373,ragohb,,1542817043220
374,jcraiden,,1542817108700
375,themightypcxz,,1542817129855
376,showdown_and_chill,,1542817161725
377,themightypcxz,,1542817224978
378,philter,,1542817238635
379,rageesportsdarky,,1542817274540
380,ingame1live,,1542817310932
381,kiixxx,,1542817408201
382,streamelements,,1542817440205
383,sepehr1731,,1542817580118
384,artibeer,,1542817582064
385,oxev,,1542817617404
386,charzuull,,1542817633481
387,themightypcxz,,1542817670155
388,dutchstyx,,1542817745466
389,trahalshik1039,,1542817768346
390,carlosbth,,1542817788365
391,lol_blunt,,1542817827283
392,daonlytimmeh,,1542818197273
393,trahalshik1039,,1542818200113
394,philter,rdulive,1542818212412
395,steezwins,,1542818241428
396,daonlytimmeh,,1542818261870
397,5exisme,,1542818269534
398,steezwins,artibeer,1542818276953
399,shootingstarhs,,1542818392714
400,doctorul_,rdulive,1542818403401
401,hustler794,,1542818454109
402,squirrelleader,,1542818597890
403,lgd251,,1542818658840
404,zatoichi_1x,,1542818742625
405,shootingstarhs,artibeer,1542818772899
406,ingame1live,rdulive,1542818791224
407,darkitchay,,1542818838843
408,shootingstarhs,,1542818907671
409,trahalshik1039,,1542818934159
410,squirrelleader,,1542819016798
411,fp_jesta,squirrelleader,1542819059443
412,courtsiege,,1542819130335
413,shootingstarhs,,1542819163693
414,arkhamknighths,,1542819413163
415,shootingstarhs,gr1mm_reaper1no,1542819477097
416,squirrelleader,,1542819482088
417,drewiscross,,1542819561568
418,shootingstarhs,gr1mm_reaper1no,1542819567206
419,viperex,drewiscross,1542819572529
420,shootingstarhs,gr1mm_reaper1no,1542819604507
421,melowd777,rdulive,1542819642866
422,arkhamknighths,,1542819722281
423,framesjanc0,,1542819953830
424,silipsas,,1542820006765
425,drewiscross,,1542820044178
426,melowd777,,1542820045766
427,west4u2,,1542820123460
428,sinfulgamernz,,1542820218042
429,quaoliz,,1542820233214
430,l0ngwind,,1542820266690
431,sinfulgamernz,,1542820270483
432,nazzahs,,1542820328330
433,shootingstarhs,,1542820397863
434,gr1mm_reaper1no,,1542820520848
435,gr1mm_reaper1no,,1542820600271
436,baev_os,,1542820819596
437,rico696969,,1542820963337
438,trahalshik1039,,1542821199029
439,stayinmytrapm8,,1542894149179
440,vomitory92,,1542894168791
441,half_sole,,1542894225895
442,piticultwitch,,1542894299709
443,streamelements,,1542894324873
444,solaniumg,,1542894480662
445,yenxa,,1542894572982
446,thefire_nation,,1542894716242
447,simylol,rdulive,1542894804092
448,thefire_nation,,1542894839325
449,thefire_nation,,1542894852401
450,u3517603,rdulive,1542895010907
451,weebaygame,,1542895108817
452,lawreyhd,,1542895522022
453,rtheeraser,,1542895670185
454,kyoonaw,,1542895770872
455,mrvovo,,1542895838403
456,evyrev,,1542895859034
457,hadhadl,,1542895860857
458,mrvovo,,1542896093203
459,solaniumg,,1542896094672
460,mimirs_fountain,,1542896149768
461,hionut,rdulive,1542896160221
462,dedooky,,1542896172738
463,enieo,,1542896232201
464,matthieist,,1542896338102
465,blueyesowl,,1542896436514
