channel,sender,words
seucreysonreborn,caiovoker,88
seucreysonreborn,lourolopes,50
seucreysonreborn,caiovoker,104
seucreysonreborn,alllba,46
seucreysonreborn,caiovoker,88
seucreysonreborn,alllba,46
disguisedtoast,calesitavoladora,0
seucreysonreborn,dinaarth,73
seucreysonreborn,alllba,46
crayator,network_error_1224,0
seucreysonreborn,caiovoker,116
crayator,chaoticgood331,4
seucreysonreborn,wallace6253213,3
seucreysonreborn,chama_quando_ele_der_rage,2
seucreysonreborn,linguissa1987,4
seucreysonreborn,windpowerdt2,2
seucreysonreborn,zaoldyaeck,4
seucreysonreborn,dinaarth,54
seucreysonreborn,alllba,46
seucreysonreborn,dinaarth,51
seucreysonreborn,yyusei,8
seucreysonreborn,wallace6253213,3
seucreysonreborn,dinaarth,45
seucreysonreborn,shiftpenes,3
seucreysonreborn,dinaarth,69
seucreysonreborn,chama_quando_ele_der_rage,3
seucreysonreborn,itzawp,3
seucreysonreborn,alllba,46
seucreysonreborn,dinaarth,48
xqcow,vyroxas,1
seucreysonreborn,artonez01,3
crayator,mrwookie03,6
disguisedtoast,mixbot,0
seucreysonreborn,123eko,3
seucreysonreborn,alendadoheroi,3
seucreysonreborn,juniior22,3
seucreysonreborn,caiovoker,40
seucreysonreborn,bolsomito4sup,4
seucreysonreborn,joninha11sadida,2
seucreysonreborn,caiovoker,96
crayator,jay30jay,0
crayator,ambear27,2
crayator,chris98373,4
crayator,loopsylayla,6
crayator,jrp050304,2
crayator,hemdan1,1
crayator,hemdan1,10
crayator,squidlynn13,4
disguisedtoast,lordzen1,7
crayator,katiet904,3
crayator,aidenxross,6
crayator,doctor_chicken11,2
giantwaffle,mdoc_,0
disguisedtoast,spatatrack,1
crayator,badddddie,3
crayator,thegrandtam,11
crayator,hemdan1,25
crayator,clique_crew,2
crayator,mellonhead97,3
crayator,jrp050304,2
crayator,dtrillion,4
xqcow,nicklovesrl,5
giantwaffle,pyrospectre242,1
crayator,dragondylan10,1
crayator,saircat,7
crayator,mwg2431,2
disguisedtoast,tressly,2
crayator,mariehartleyjones,4
crayator,clique_crew,2
crayator,msmester1000,3
xqcow,reef_blastbody,36
crayator,jaya678765,1
crayator,jerkface1978,5
crayator,bear24hs,1
crayator,okmanigso,2
crayator,nomesie,1
crayator,mariehartleyjones,4
crayator,deniseisepic,3
crayator,msmester1000,4
crayator,kimmymoree,3
crayator,silveahvm,4
crayator,cutterodst,2
crayator,nebulae_52,2
crayator,gurmehar_s,8
crayator,has2703,5
crayator,wyrose17,1
crayator,m1tzyy,3
bobross,loukangbang,1
crayator,firefly64,5
crayator,disane124,1
crayator,elliotstark11,1
crayator,nightmareghost75,4
crayator,katiet904,3
crayator,gurmehar_s,8
crayator,aya1717,2
disguisedtoast,xchip0,0
crayator,cheif_dctj,2
crayator,jasamius,5
crayator,dantefire214,6
crayator,hemdan1,5
crayator,uhhonelargecoke,4
crayator,aidenxross,3
disguisedtoast,meadwag,0
crayator,ghostcat2000,1
crayator,wyvernfins,1
crayator,elliotstark11,1
crayator,wylde_kyle,1
crayator,badddddie,3
crayator,beesting15,7
crayator,emily_timmerman_,1
crayator,gin_wyvern,1
crayator,thezestykebab,1
crayator,partyhard99,10
crayator,juliarae04,1
crayator,itjaze,7
crayator,sauceman33,1
crayator,jamescrof,1
crayator,lizze_the_gnome,7
crayator,muybienlul,1
giantwaffle,paffell,2
crayator,isaachogue2017,1
crayator,uhhonelargecoke,6
crayator,network_error_1224,16
crayator,ya_boi_kuchi_kopi,4
crayator,misspluisje,3
crayator,punyempress,6
crayator,jasamius,9
crayator,rachelj96,7
crayator,gurmehar_s,30
crayator,tamys98,6
crayator,hemdan1,24
crayator,hemdan1,3
crayator,tayl4302,9
crayator,mamanico7,1
crayator,logwan27,1
crayator,hemdan1,12
disguisedtoast,quote_if_not_winnable,16
crayator,has2703,6
crayator,lilzpeepxz,1
crayator,mellonhead97,6
crayator,timthetatmanisbetter,12
crayator,mariehartleyjones,6
crayator,hazardhayley,6
crayator,katiet904,4
crayator,jamesgoobs,11
disguisedtoast,azndragon47,1
crayator,cameroneccles,1
crayator,beautygamer19,1
crayator,network_error_1224,20
crayator,mightyequis,2
crayator,suddenthought22,0
crayator,rihanna_a,0
crayator,ttv_cutoffnick,0
bobross,datdoritokid,10
crayator,jasamius,12
bobross,tawj1996,2
crayator,109364756,2
crayator,ov76,3
crayator,hayden_hp,4
crayator,randomsunshine2,21
crayator,ssk1920,1
crayator,shockwaves_,1
crayator,dankibio,1
crayator,fatfingers46,1
crayator,izzayyyyyy,16
crayator,jl598,1
crayator,flatter_bubbles,4
crayator,supertannman,4
crayator,mitzmitz_,2
bobross,aurorarose425,2
crayator,heresgingy,1
crayator,dmac134,7
crayator,thedrakosgod,3
crayator,stormy__2,1
xqcow,fwzfwz,1
crayator,babofraser,1
disguisedtoast,lordzen1,1
crayator,randomsunshine2,1
disguisedtoast,sickpuppiez,2
crayator,ffasfaadanasd,1
crayator,gurmehar_s,4
bobross,alex1barra,4
crayator,nightbot,10
disguisedtoast,wolf_pacc72,3
disguisedtoast,reille,4
crayator,maria_akimomo,1
disguisedtoast,greycrown_gg,4
crayator,soccermom222,1
crayator,drpotato2u,6
disguisedtoast,thebralgames,3
crayator,smarcey,5
crayator,maria_akimomo,5
crayator,gurmehar_s,102
crayator,hickups1012,3
disguisedtoast,moreo,1
crayator,rdplusm,66
crayator,nomesie,3
crayator,solohawk9,88
crayator,dantefire214,1
crayator,bennyboy1534,1
disguisedtoast,will_leicesterfc,1
disguisedtoast,bentleycooper,4
crayator,jasamius,1
crayator,dboraa,4
crayator,sauceman33,4
crayator,ghostcat2000,39
crayator,fuzzysnugglekitty,1
crayator,ssk1920,104
crayator,ijikegaming,4
disguisedtoast,revolutionhs,5
crayator,tomatoii,2
crayator,fatfingers46,4
crayator,amaritagames,1
crayator,rihanna_a,9
crayator,rage_king_master,9
crayator,yergplayz,12
crayator,crustydemon10,1
crayator,supersahen1,2
crayator,jocelyn330,3
crayator,ogwaughlord,1
crayator,ijikegaming,4
crayator,hemdan1,6
crayator,jasamius,1
crayator,jasamius,8
crayator,jerkface1978,8
crayator,hemdan1,1
crayator,jadarious65,10
crayator,tinyteej33,2
crayator,sammytops,8
disguisedtoast,templarre,3
crayator,tinyteej33,2
crayator,tinyteej33,3
giantwaffle,dutrockbridge,1
crayator,jasamius,7
disguisedtoast,lorcaxiii,2
crayator,legitnass,36
crayator,recklessart3560,0
crayator,jboyswatz,2
crayator,jessiesanchh,1
crayator,jasamius,4
crayator,ragnarokberserk,3
disguisedtoast,imashi1,0
disguisedtoast,fearlessmagician,0
crayator,mamanico7,4
crayator,frostay_the_snowman,1
crayator,frostay_the_snowman,1
crayator,sauceman33,2
crayator,its_a_fluke5506,4
crayator,tayjayz,1
crayator,im_mong,1
crayator,stuartwynne,5
crayator,hannah_penn22,2
crayator,harrythehuman,3
crayator,chris98373,18
giantwaffle,logical_fallacy_,1
crayator,lilzpeepxz,2
crayator,amaritagames,1
giantwaffle,zyno,0
disguisedtoast,wonderbuster,9
crayator,ijikegaming,17
crayator,yhhuhnihn,1
crayator,jboyswatz,1
crayator,souperm00se,5
crayator,chris98373,6
crayator,heyturtlemane,41
crayator,ragechihuahua,1
crayator,solohawk9,27
crayator,mrwookie03,2
crayator,wylde_kyle,3
crayator,tayjayz,3
crayator,jerkface1978,3
crayator,yergplayz,1
crayator,christian40199,7
crayator,amaritagames,1
crayator,smarcey,1
crayator,calderari17,1
crayator,has2703,6
crayator,kill_all_tyrez,1
crayator,thewanderer2314,1
crayator,haeunie99,1
crayator,gurmehar_s,1
crayator,gurmehar_s,1
crayator,ayeitskill,1
crayator,aniyamoon,1
crayator,calderari17,1
crayator,imlitandyournot6,1
crayator,hickups1012,5
crayator,wyrose17,3
disguisedtoast,deltiee,1
crayator,c0_o,1
crayator,yaboyfreshmanasian,3
crayator,ilee2413,5
crayator,nomesie,5
crayator,daph_hockey,3
crayator,alanawhitexx,1
crayator,muddypandaguy,4
crayator,deabesh,4
crayator,mysticunderscore,4
crayator,trihard_black_magic,4
crayator,sircjbat,2
crayator,kristi24,1
crayator,beautygamer19,3
crayator,im_jenny,2
crayator,iamlukevice,1
crayator,wylde_kyle,1
crayator,spug2bug,3
crayator,mysticunderscore,4
crayator,sneezysw,1
crayator,drpotato2u,6
crayator,btm1972,3
crayator,mysticunderscore,5
crayator,nickmackey81,4
crayator,dabbing_taco,4
crayator,muddypandaguy,4
giantwaffle,sleepyslice,1
crayator,wafflethebun,6
crayator,darknite130,1
crayator,lintrolleronleg,1
crayator,has2703,1
crayator,streamerwtb,1
crayator,thezestykebab,19
crayator,muddypandaguy,1
bobross,litbill11,5
crayator,awesomeness2727,3
crayator,gurmehar_s,24
crayator,faketwitch123456,4
crayator,goongiegunganathan,3
crayator,kopite991,7
xqcow,huyx,25
crayator,hunterisarookie,5
disguisedtoast,wassup_bubs,1
crayator,blazestar62,5
crayator,wyrose17,1
crayator,sorio_zach,2
bobross,theravenrose,1
crayator,hickups1012,2
crayator,cole8765,3
crayator,heresgingy,2
crayator,radiantskylight,8
crayator,fortnite_lt,4
crayator,geckoman376,3
xqcow,yaaag,14
crayator,phantomjuice_,3
xqcow,opmercury,3
crayator,wolllfff,7
crayator,gurmehar_s,1
crayator,soccermom222,3
crayator,alkybadger1820,5
crayator,courtneychar,15
crayator,myyvcardnow,1
crayator,usa17007,4
disguisedtoast,nigoli01,2
disguisedtoast,parkwoo,2
disguisedtoast,bestthehomie,1
crayator,soccermom222,10
crayator,therealdefts,4
crayator,cole8765,10
crayator,gurmehar_s,25
crayator,phanflustered,3
xqcow,solominomio,44
crayator,jennaash12,4
crayator,novoj002,2
crayator,jasamius,12
crayator,novoj002,1
crayator,germanhyperion,1
disguisedtoast,moonbyulbias,1
disguisedtoast,flaminglasso,1
disguisedtoast,animaxist2,1
crayator,manxguru,10
disguisedtoast,ekahs_hs,2
crayator,adamperillo,4
xqcow,hisham4879,2
crayator,churros_9271936,2
crayator,smarcey,1
disguisedtoast,kawaiiasphuck,1
crayator,atlasmaze4,17
crayator,arkwarrior314,3
crayator,badddddie,1
crayator,krisnufc88,11
xqcow,skydogg5555,1
crayator,luigi_dubs,1
crayator,jasamius,14
xqcow,pippin159,2
crayator,novoj002,3
crayator,nebulae_52,14
crayator,gurmehar_s,14
crayator,itsseki_,1
crayator,noctis734,2
crayator,ram3nk1ng,1
crayator,squidlynn13,1
crayator,jokerkiller6110,1
crayator,myyvcardnow,1
crayator,has2703,1
crayator,beautygamer19,1
crayator,n0_name8,6
crayator,kill_all_tyrez,1
crayator,lightlyshad0w,3
crayator,dee_jay_boo,25
crayator,kidcourchene7,1
disguisedtoast,therealchaitea,1
xqcow,tylersuxdix,16
crayator,tyrsquared,1
crayator,myyvcardnow,4
crayator,ram3nk1ng,3
bobross,sovieticferomics,3
crayator,hitm4n84,3
crayator,skystrike25,7
crayator,hunterisarookie,2
crayator,hunterisarookie,3
bobross,oginric3,6
giantwaffle,zerodonuts13,3
crayator,finnegankaitlyn,12
crayator,samanthazep,1
crayator,teemenz,1
crayator,kevinmr415,1
crayator,teemenz,2
crayator,mak30uth111,4
crayator,niccoleannn,15
crayator,jasamius,1
crayator,dgr8east,1
crayator,spectrrz,1
crayator,niccoleannn,13
crayator,vasavage,1
crayator,mcsavagenapkin,1
giantwaffle,derek83fau,1
giantwaffle,brozach1,4
crayator,xxkingodxx577,2
crayator,shadowshark24,1
giantwaffle,i_am_davis,1
giantwaffle,ashbringah,2
xqcow,jv195,0
xqcow,octavarium5858,8
crayator,n0_name8,3
crayator,elisco1,12
crayator,geckoman376,6
crayator,elksiesta,1
crayator,marionwatson1,3
crayator,yrafique13,1
crayator,charbelyam,6
crayator,hunterisarookie,1
crayator,hawkes_420,5
crayator,sepxjoe1,5
crayator,nightbot,13
crayator,gathercabbige1234,1
crayator,tiernan015,8
crayator,leafshinobi360,5
crayator,leafshinobi360,1
crayator,elpapichurro_9,4
crayator,n0_name8,1
crayator,yrafique13,1
crayator,hunterisarookie,2
crayator,wa1kin9disaster,1
crayator,spectrrz,3
crayator,wylde_kyle,1
crayator,dee_jay_boo,1
crayator,acecaponslugger,3
xqcow,frostytheblizz,1
crayator,kingtortilla33,1
giantwaffle,upgradedbobby,1
crayator,nerrdica,2
crayator,kevinmr415,1
crayator,firestormace8288,1
crayator,mellonhead97,1
crayator,noctois,4
crayator,cjp2005,1
crayator,n0_name8,3
crayator,kevinmr415,1
crayator,elpapichurro_9,5
xqcow,nymphayugo,1
crayator,kill_all_tyrez,3
crayator,elpapichurro_9,8
xqcow,kahkoa,48
crayator,nomesie,1
bobross,theravenrose,1
crayator,nottanaka,1
crayator,breaktheglass92,1
crayator,stremere123,1
crayator,livvvvvvvvvvvvvvvvvvvvv,6
crayator,jfoley,22
crayator,jasamius,12
crayator,jaxbell217,2
crayator,pureturkeys,2
crayator,tiernan015,2
crayator,killerquagmire,12
crayator,10hands5faces,1
crayator,yayosama611,4
xqcow,kyyie,1
crayator,gabegamer43211,14
crayator,batttski,5
bobross,hgee100,6
crayator,neoflame2004,4
crayator,manxguru,6
crayator,aurylu,16
crayator,yrafique13,1
crayator,dominick081904,5
crayator,tiernan015,2
crayator,rainbowsanddarkness,8
crayator,glaceon554,1
crayator,yayosama611,10
crayator,mrweirdo317,6
crayator,killerquagmire,6
crayator,htz_marshall,2
crayator,tiernan015,4
disguisedtoast,nixrim,1
crayator,me1onfortnite,4
crayator,courtneychar,1
giantwaffle,overshottae,1
crayator,jaxbell217,1
crayator,niccoleannn,15
crayator,me1onfortnite,1
crayator,kalise_queen,3
disguisedtoast,munccino,1
crayator,doodlesokok,5
crayator,rbrickman,3
disguisedtoast,limecon,1
crayator,curtisnewb,29
disguisedtoast,newcizer,13
disguisedtoast,hahaa12btwhahaa,1
crayator,has2703,1
giantwaffle,the_bartt,3
crayator,tsg_timbo,10
crayator,oneupgamer1,10
crayator,zach_bash,7
crayator,leafshinobi360,5
crayator,sethro516,3
crayator,elpapichurro_9,7
xqcow,brandon_castelo,24
crayator,mellonhead97,15
xqcow,et3c,8
crayator,wps941,1
crayator,mellonhead97,1
crayator,haeunie99,1
crayator,natethebeast2330,1
crayator,calderari17,1
crayator,coolok01,1
crayator,wylde_kyle,1
crayator,jongfer,1
crayator,jaxbell217,5
crayator,tsg_timbo,16
crayator,ricedanielle,0
crayator,colgur8843,1
crayator,ricedanielle,1
crayator,jasamius,3
crayator,mike197823,2
crayator,elpapichurro_9,4
crayator,elpapichurro_9,6
crayator,johannsenbubbaj,8
disguisedtoast,trigginfypo,2
crayator,jasamius,11
crayator,kingtoby1732,3
disguisedtoast,transcenddino,1
crayator,kpmoney102,8
crayator,dc_diesel,6
crayator,dominick081904,3
crayator,steeler2334,5
crayator,treveal,2
xqcow,ggx_gang_gang__,48
crayator,nerrdica,4
crayator,ghostcat2000,1
crayator,dgr8east,1
crayator,gurmehar_s,2
crayator,claykiller250,13
crayator,6piecenuggetyt,6
crayator,lacrossekid9132,1
crayator,wiestthebeas,1
disguisedtoast,shinybushybrow,1
crayator,coolok01,3
crayator,nightbot,13
crayator,kpmoney102,3
crayator,kingtoby1732,5
xqcow,aquaphorus,39
xqcow,wawagon,1
crayator,mellonhead97,1
crayator,samanthazep,3
bobross,jdoggs61213,1
crayator,purpleyoo1,3
crayator,hemdan1,3
crayator,mellonhead97,6
crayator,conman0217,3
crayator,killerquagmire,7
crayator,ram_pge,4
crayator,lil_ng,1
crayator,nyieon,1
crayator,bigd_112,5
crayator,katiet904,3
crayator,wiestthebeas,9
crayator,purpleyoo1,6
crayator,conman0217,4
crayator,me1onfortnite,3
crayator,lvgisaac,4
xqcow,snorkel_,1
crayator,dragonwolfe_369,5
crayator,conman0217,5
crayator,nonobut123,6
crayator,kleetus,1
crayator,wiestthebeas,18
crayator,cole8765,1
crayator,jasamius,3
crayator,ali_a12134,3
crayator,tzgamwatcher,9
crayator,hemdan1,1
crayator,uncrown123,1
crayator,mellonhead97,3
crayator,haithemkar,1
crayator,treveal,1
crayator,ali_a12134,3
crayator,missroguejaguar,1
crayator,jasamius,1
crayator,soccermom222,1
crayator,grizlybomb,1
crayator,gurmehar_s,36
crayator,knightbqm,1
crayator,jasamius,4
crayator,maxu1234567,1
crayator,maxu1234567,2
crayator,blocboy_parmesan,1
crayator,maxu1234567,1
crayator,maxu1234567,1
crayator,maxu1234567,2
giantwaffle,gaffa_truls,7
xqcow,dokkarlsefni,26
giantwaffle,vindrnewtrl,1
xqcow,frozenwaffle_,1
bobross,woupalae,2
xqcow,diqqdiq,1
xqcow,flippytheboy,2
giantwaffle,nat1um,1
xqcow,the_real_thicc_daddy,1
bobross,ninuh03,1
xqcow,badusernamee,2
xqcow,itinerary,32
giantwaffle,lechigga,2
xqcow,fatkittiies,1
xqcow,chubbseal,1
xqcow,ch_fox,1
xqcow,quote_when_xqc_plays_dps,1
giantwaffle,reece_cortes,3
xqcow,wubba_ow,1
bobross,edmistja,1
giantwaffle,nick_venture,4
xqcow,mith_nsnl,2
xqcow,junsaurusrex,1
xqcow,castrosproduction,2
xqcow,xqcmonkaw,1
xqcow,axo__,4
xqcow,luca1888,4
bobross,flaminhotcheetopuff,1
xqcow,eddiermerin,1
xqcow,thelogan109,1
bobross,edmistja,11
giantwaffle,ss_trustee,6
xqcow,eaturanus,1
bobross,lb12047,3
bobross,theactualrealhyperion,1
xqcow,theacadapter,1
xqcow,se_bastian,1
giantwaffle,panzerjaggger,2
bobross,dutchessam,5
xqcow,sayhitomepleasee,1
xqcow,adamister25,1
giantwaffle,dendeson,1
xqcow,ghoulhan,1
xqcow,livestock_,35
giantwaffle,astraeus2,19
giantwaffle,noxix_uk,3
xqcow,adarkally,1
xqcow,fossabot,25
xqcow,alexmd_ow,2
xqcow,brndenv1,1
xqcow,nycro_,4
giantwaffle,boudrinsky,3
xqcow,adrianzotheops,1
xqcow,tyler1_fanboy,78
xqcow,diexode,36
xqcow,cafelux,1
xqcow,midgey,2
giantwaffle,ragohb,2
xqcow,madzee,2
xqcow,mlitfalcon,1
giantwaffle,zerofstogive,6
xqcow,thresh_adc,1
giantwaffle,javed971,15
giantwaffle,astraeus2,10
xqcow,abyssofcurses,4
xqcow,diqqdiq,33
disguisedtoast,hasele,1
giantwaffle,drewthunder,5
xqcow,basicscaboose,1
disguisedtoast,zeemock,1
xqcow,cucumberdesu,1
xqcow,somisoup,2
disguisedtoast,neonpeni,2
disguisedtoast,locy77,2
giantwaffle,syn__,9
disguisedtoast,templarre,1
disguisedtoast,bigdabsss,2
xqcow,lightstream,2
disguisedtoast,gdsbandit,1
disguisedtoast,rj7000,1
disguisedtoast,corenith,5
disguisedtoast,gohan727,0
xqcow,game_36,18
disguisedtoast,neonpeni,1
disguisedtoast,warmasterg,2
disguisedtoast,tuishinqr,3
xqcow,wrathkw,13
disguisedtoast,bigdabsss,5
disguisedtoast,frichickenishaaa,1
disguisedtoast,rzrzrzrz,1
disguisedtoast,halfheart_,1
disguisedtoast,cpl_cuddlez,2
bobross,codenamepotato12,6
xqcow,kareemachine,1
disguisedtoast,lilboat9,0
xqcow,dino_ttv,1
disguisedtoast,azndragon47,0
disguisedtoast,itsrooster1000,1
disguisedtoast,richsanity,1
xqcow,cynicalll,1
giantwaffle,retsulk,10
disguisedtoast,realhzj,1
xqcow,ironlc,0
disguisedtoast,andycandyc,1
disguisedtoast,kingsayblue,1
xqcow,potateeeeees,1
giantwaffle,daponemhaters,3
disguisedtoast,lagizilla,1
xqcow,cjm85204,1
xqcow,muruci,1
disguisedtoast,ad80t,1
xqcow,raytehswag,1
disguisedtoast,oswaldrs,1
disguisedtoast,ami1011,0
disguisedtoast,lolcarop,0
disguisedtoast,starfish575,2
disguisedtoast,axolllotll,1
disguisedtoast,findablecash345,3
xqcow,the_real_animechibi,30
disguisedtoast,hugo0701,1
disguisedtoast,icesicle,6
giantwaffle,scoops__,2
disguisedtoast,ld100_stat,2
disguisedtoast,swingingjungler,1
xqcow,supremepotato0,1
disguisedtoast,onlytobe,1
disguisedtoast,ichigo_gyunyu_,1
xqcow,thewilzzu,1
disguisedtoast,mhuang18,1
disguisedtoast,changbinnie,2
disguisedtoast,night_fire,8
disguisedtoast,templarre,1
disguisedtoast,salamenmax04,4
clintstevens,jollypiratedonut,3
clintstevens,fubbzy,8
clintstevens,mattklanks,1
clintstevens,thewolfcode,2
clintstevens,ricoo08,1
clintstevens,aw1442,1
xqcow,terminus345,8
disguisedtoast,komm935,2
disguisedtoast,imabeddytear,5
clintstevens,toneus,4
disguisedtoast,deplete_,1
clintstevens,fartsnort,3
xqcow,manspiderman,2
giantwaffle,kykellermann,4
clintstevens,imthatoneguy64,4
clintstevens,tsukigo,2
disguisedtoast,wraithlord98,1
disguisedtoast,benjamindanklin01,4
disguisedtoast,1vindex,1
clintstevens,firemanzz,1
disguisedtoast,sciencemon,2
disguisedtoast,kingsayblue,1
giantwaffle,showelbowspls,7
clintstevens,tsukigo,2
clintstevens,efluonidel,7
clintstevens,kaladinstormblest,1
giantwaffle,fingergames,2
clintstevens,imthatoneguy64,3
clintstevens,deepestdrip53,1
clintstevens,sellsoranges,7
clintstevens,sellsoranges,4
clintstevens,o_circles,3
clintstevens,residrew,1
clintstevens,chronocrossfaded,1
clintstevens,cruxis87,4
clintstevens,jedibrothers,2
clintstevens,soundroshi,1
clintstevens,chuckthegypsy,3
clintstevens,theno9,14
clintstevens,shmowen,4
clintstevens,gen_n0mana,1
giantwaffle,moobot,6
clintstevens,riggedi,1
clintstevens,drib_,1
clintstevens,mcmilo,39
disguisedtoast,mcmasterpwnz,3
disguisedtoast,galios1,6
xqcow,droidi_,1
xqcow,emulator13,1
clintstevens,sirdallas,2
clintstevens,tehspoderman54,1
clintstevens,erjt_,6
clintstevens,imthatoneguy64,2
giantwaffle,mattdanielj,6
clintstevens,theimmortalcapo,7
clintstevens,hush18,6
clintstevens,firemanzz,1
xqcow,inglorious_ramirez,2
clintstevens,goosetogeese,1
xqcow,silverpike4,6
clintstevens,dallasevertts,2
clintstevens,bigtimetalks,24
disguisedtoast,benjamindanklin01,1
clintstevens,mmmtacos,2
clintstevens,the_kiji,7
disguisedtoast,huntikgo,3
xqcow,itscelestiall,2
xqcow,reeeeeeeeeeeeeeeeeeeeeese,45
disguisedtoast,intercrus,8
xqcow,comitatvs,1
xqcow,ironlc,75
clintstevens,aw1442,1
clintstevens,grediann,7
clintstevens,rigidpillow,2
clintstevens,josedude,73
disguisedtoast,bbanjjak,5
clintstevens,feelingneishh,4
clintstevens,bater88,5
giantwaffle,torzar,8
clintstevens,flawlessrhyme07,8
clintstevens,imthatoneguy64,2
clintstevens,mr0nkr,1
clintstevens,trutoob,1
clintstevens,elkones,4
disguisedtoast,complexthought,1
clintstevens,unusualtoast,1
clintstevens,marioplusluigi69,3
disguisedtoast,thrwback,1
clintstevens,andehtee,1
giantwaffle,creyze,1
clintstevens,nilesly,3
clintstevens,clintluvsballz,5
disguisedtoast,ardubyu,8
clintstevens,martin477,0
clintstevens,imthatoneguy64,1
clintstevens,bob123beans,2
clintstevens,nowi0,1
clintstevens,angel00,1
clintstevens,nuns0ndrugs,1
giantwaffle,exterminator48,2
clintstevens,awsumpwner27,1
disguisedtoast,careychan,15
giantwaffle,dutrockbridge,7
clintstevens,paul5,5
disguisedtoast,retired_from_life,8
clintstevens,jeremiah_scrode,2
clintstevens,kanekiz__,7
disguisedtoast,setun1993,1
clintstevens,ragexxius,1
clintstevens,zhiel__,1
disguisedtoast,soundablemammal,1
giantwaffle,ninopanda,6
giantwaffle,bananabrea,1
disguisedtoast,bonniethekidd,1
clintstevens,dantheman_2746,2
disguisedtoast,bigdabsss,2
disguisedtoast,fabushki,2
clintstevens,ragexxius,1
clintstevens,chuckthegypsy,1
clintstevens,pandapoploin,1
clintstevens,bob123beans,3
clintstevens,shinagens,1
clintstevens,unusualtoast,3
clintstevens,ukurse,2
clintstevens,deadlyflower58,5
clintstevens,zenislev_,1
disguisedtoast,dembangers,3
clintstevens,cyndarie,1
clintstevens,lizardwizard_1,1
clintstevens,matsy77,7
clintstevens,ghostyisme,1
disguisedtoast,itshecs_,1
disguisedtoast,rocosmdrnlive,5
clintstevens,monkeyofdaharctic,5
giantwaffle,coloneljack1234,1
clintstevens,nicholastsonis,3
clintstevens,morryd,1
clintstevens,markyooks,1
clintstevens,markyooks,1
clintstevens,chocosoplon696969,3
disguisedtoast,apataker,5
clintstevens,tiltlad,2
clintstevens,oaty96,2
disguisedtoast,rekk0nn,3
clintstevens,therusecruise,1
clintstevens,i_am_sofa_king_,2
clintstevens,liamgsshaw,5
clintstevens,poppi,1
clintstevens,2haki,3
clintstevens,zhiel__,1
clintstevens,fluxayy,1
clintstevens,liamgsshaw,1
clintstevens,gubop12,2
clintstevens,1_overdrive,1
disguisedtoast,cellxero,3
disguisedtoast,taengoos_,1
clintstevens,ramontep,1
disguisedtoast,xershiro,1
clintstevens,majestic_rhino,2
disguisedtoast,hayslayer5,1
disguisedtoast,froyodonut,1
clintstevens,orcboi,2
disguisedtoast,hachibe,1
disguisedtoast,datpuipui,3
clintstevens,christinnee,1
clintstevens,therealfinaltaco,1
disguisedtoast,geicogaming,3
clintstevens,zhiel__,2
clintstevens,punchygames,0
clintstevens,thewolfcode,1
clintstevens,fatshortquickks,3
clintstevens,peculiarherb,1
disguisedtoast,dark_caligma,1
clintstevens,gigantoise,2
disguisedtoast,its_kress,1
clintstevens,flipper1617,4
clintstevens,yobanashii_,1
clintstevens,aipata,3
bobross,jdh2901,9
clintstevens,hunter_plz,3
giantwaffle,thegoldenkappakappa,1
disguisedtoast,salamenmax04,2
disguisedtoast,hayslayer5,1
disguisedtoast,ceet89,2
disguisedtoast,lynnesty,1
clintstevens,chuckfabulous,1
disguisedtoast,sereey,5
clintstevens,quote_me_if_u_r_sad,1
disguisedtoast,swankymilk,1
bobross,dylanthepickledy,2
disguisedtoast,vaultb0y,0
disguisedtoast,drfiend,3
loltyler1,kumakx,0
kalashnikovmediatv,artem_mayorr,0
kalashnikovmediatv,whitily7,2
loltyler1,scotsman_07,1
giantwaffle,funtcase,4
kalashnikovmediatv,visman21,0
forsen,lauwild,2
kalashnikovmediatv,taga9,0
kalashnikovmediatv,zeusnavimolotov,1
kalashnikovmediatv,visman21,0
forsen,darkfigment,2
kalashnikovmediatv,1_devil,0
giantwaffle,sevpaii,2
loltyler1,hogsquezer,35
kalashnikovmediatv,babaika228qwe,0
forsen,martblni,10
giantwaffle,turbologic,3
kalashnikovmediatv,fr4yz_,0
kalashnikovmediatv,fr4yz_,0
forsen,rafalface,16
forsen,bandos333,15
forsen,nark0punk,11
forsen,xmilktea,1
forsen,sebastian_monka,4
forsen,ay0d,1
loltyler1,sworushu,1
loltyler1,x_art_of_life_x,3
loltyler1,plechovka1996,1
loltyler1,blcked69,3
forsen,badmanners_,3
forsen,afjell,3
loltyler1,stop_using_xd,4
giantwaffle,duckylmnop,11
giantwaffle,mightexe,6
loltyler1,dekisus,1
forsen,doubletqm,5
forsen,massive_pidas,1
loltyler1,puggles64,4
giantwaffle,mintyrainforest,3
giantwaffle,aftermathgam3r,4
giantwaffle,sniperboss321,1
bobross,nasaan,2
giantwaffle,chaz_man,1
kalashnikovmediatv,derezzed642,0
kalashnikovmediatv,bigdaddyvlados,0
kalashnikovmediatv,derezzed642,0
bobross,nasaan,1
loltyler1,paracusia,1
loltyler1,crypto_key_,12
giantwaffle,slide1,1
forsen,monkahard,7
giantwaffle,kippythekoala,2
loltyler1,uniqueubique,3
giantwaffle,tater2tot,1
kalashnikovmediatv,neyronoffv2,0
giantwaffle,sabess97,2
bobross,pyromancer,1
loltyler1,theeswaggiest,1
