channel,sender,words
xqcow,itsplzzz,1
perrkz,nitrox0,1
perrkz,bingo5555,5
perrkz,suitwo,1
perrkz,thatlatvianguy,2
perrkz,quarric,1
perrkz,helferklein,2
perrkz,darkgeorok,1
perrkz,ld392,1
perrkz,powervital,4
perrkz,lucpham123,1
perrkz,patatouilla,1
perrkz,tolbi_i,1
perrkz,buliarz,3
perrkz,dubronn,7
xqcow,snorkel_,1
perrkz,appliedchain1,1
perrkz,uber_rainbow,1
perrkz,renerise,1
sodapoppin,glorymonger,2
sodapoppin,lolmysterior,3
perrkz,qasmfiend,7
sodapoppin,tekmarkus,4
perrkz,rileyreidfanboy,1
perrkz,ld392,9
perrkz,xarcus96,2
perrkz,kingroders,1
perrkz,helferklein,1
perrkz,nenasy,1
perrkz,daniel_toscan_seplante,1
perrkz,lenticious,1
perrkz,prothro,1
perrkz,renerise,1
perrkz,shadowlunar,1
perrkz,powervital,1
perrkz,moss1998,1
perrkz,apxshogun,5
bobross,drdoktor45,3
perrkz,khirsah6,5
bobross,larsmybars,2
perrkz,leagueofdraven_,1
perrkz,nightbot,15
perrkz,creyoz,3
perrkz,hallrs,3
giantwaffle,zyfae,2
perrkz,yakuzii1,9
perrkz,sewerynoo,6
perrkz,suitwo,9
perrkz,frenkyyy23,8
perrkz,tgchaoss,6
xqcow,kagunedark,54
sodapoppin,snurty,5
xqcow,gidory,0
perrkz,3dpopkorn,9
sodapoppin,timmyyycx,2
perrkz,apxshogun,5
perrkz,hypelastika,5
perrkz,nickoone,1
perrkz,senkiozz1,3
perrkz,destroit4evr,3
perrkz,wabby_dabby,2
perrkz,qiluklol,1
perrkz,fuzioncf,1
perrkz,shadowlunar,4
perrkz,stenbosse,1
perrkz,westcioud,5
perrkz,tw_fuze,0
perrkz,azoth98,2
perrkz,mehdiezzarrad,1
perrkz,woxo_loves_your_mom,1
perrkz,j2eason,8
perrkz,tw_fuze,2
perrkz,duckerquaker,3
perrkz,yuewenfu,2
perrkz,gatyesz,1
perrkz,lucker7,8
perrkz,layzeede,1
perrkz,mehdiezzarrad,2
perrkz,bloodreyna,1
perrkz,xarcus96,1
perrkz,uber_rainbow,2
perrkz,esverter,1
perrkz,westcioud,5
sodapoppin,aidenwallis,7
sodapoppin,jimasly,1
perrkz,kingroders,4
perrkz,tormorn,2
sodapoppin,therealjonerzz,3
perrkz,destroit4evr,7
perrkz,hypelastika,2
perrkz,mtomim,3
perrkz,bingo5555,4
perrkz,ld392,1
sodapoppin,pyden,2
perrkz,shamblee,8
perrkz,mrjaywastaken,4
perrkz,khirsah6,6
perrkz,entropier,4
perrkz,bingo5555,4
perrkz,mcl1789,4
xqcow,hachiko_,1
sodapoppin,velocityobey,1
perrkz,gegemont,8
perrkz,shadowlunar,1
sodapoppin,timuuur,1
xqcow,planatoid,69
perrkz,he_does_it_4_free,10
bobross,diabloawesome,9
perrkz,pikablu2015,1
perrkz,hallrs,4
perrkz,shofuking,1
perrkz,xarcus96,1
perrkz,ld392,6
perrkz,uber_rainbow,3
perrkz,westcioud,0
giantwaffle,intimdatr,2
perrkz,mtomim,0
perrkz,gatyesz,1
perrkz,anekrot235,3
perrkz,hallrs,1
perrkz,gegemont,10
perrkz,westcioud,2
perrkz,mtomim,2
perrkz,he_does_it_4_free,7
perrkz,freewifl,1
perrkz,uber_rainbow,1
perrkz,trxfjnv,7
perrkz,daniel_toscan_seplante,2
perrkz,deathmarkop,5
perrkz,sebastianmezano,1
sodapoppin,thygore808,6
perrkz,prothro,1
perrkz,hypelastika,3
perrkz,trxfjnv,1
perrkz,kingroders,1
perrkz,suitwo,1
perrkz,senkiozz1,1
perrkz,gatyesz,1
perrkz,gegemont,12
perrkz,duckerquaker,4
perrkz,daniel_toscan_seplante,1
perrkz,xulter,4
perrkz,kocunar1960,8
perrkz,rex123why,6
perrkz,reesboo,4
perrkz,nifftyyobro,10
perrkz,beepboopbe,5
perrkz,tormorn,1
perrkz,uber_rainbow,2
perrkz,wabby_dabby,2
perrkz,sunzuri,3
perrkz,stfu_jatt,6
perrkz,eddy_kr,3
perrkz,soojih,1
perrkz,sebastianmezano,3
perrkz,nickoone,2
perrkz,hypelastika,3
perrkz,beepboopbe,4
perrkz,kennrouz,3
perrkz,kingroders,3
perrkz,thatlatvianguy,1
perrkz,g33k_0ut,6
perrkz,stfu_jatt,6
sodapoppin,stormwolfmossy,1
sodapoppin,baltimore_or_riot,1
perrkz,acmax04,5
perrkz,metaltunder,2
perrkz,jiqonix,8
perrkz,srarinaa,1
perrkz,tosky,1
sodapoppin,tuladegoma69,1
sodapoppin,anothervirtualvoyager,3
giantwaffle,mashuux,7
xqcow,jungletwitchtv,1
perrkz,sefaayb10,2
perrkz,nickoone,3
perrkz,runescapefish,3
perrkz,barper618,3
perrkz,wheelboy,1
perrkz,pohanicevapcic,5
perrkz,millstar_,4
perrkz,renerise,2
perrkz,wheelboy,3
perrkz,g33k_0ut,7
xqcow,sourcreamurine,1
perrkz,barper618,2
xqcow,heivete,7
perrkz,runescapefish,2
perrkz,eddy_kr,2
perrkz,urlilase,5
perrkz,nickoone,1
perrkz,nifftyyobro,2
perrkz,ztheex,1
perrkz,prothro,1
perrkz,mtomim,1
perrkz,wheelboy,3
perrkz,shadowlunar,1
perrkz,bloodreyna,1
perrkz,renerise,1
perrkz,wheelboy,4
perrkz,learn_to_strafe,2
perrkz,daniel_toscan_seplante,2
perrkz,wheelboy,1
xqcow,ultramrsnatalie,1
perrkz,wheelboy,1
perrkz,hallrs,1
perrkz,g33k_0ut,1
perrkz,hypelastika,2
perrkz,daniel_toscan_seplante,1
perrkz,pohanicevapcic,5
perrkz,xarcus96,3
perrkz,g2_korwin,1
perrkz,qyno_,3
perrkz,8eliever,10
perrkz,wheelboy,6
perrkz,gatcan,5
perrkz,hallrs,10
perrkz,recinius,10
perrkz,ploppfejs,3
perrkz,shadowlunar,6
perrkz,nifftyyobro,15
perrkz,yuiieeee,1
perrkz,hallrs,7
perrkz,wheelboy,5
perrkz,simdor23,4
perrkz,jan123123,1
perrkz,cockrockin,5
xqcow,kalendae,0
sodapoppin,kraxmaji,1
perrkz,yakuzii1,7
perrkz,wheelboy,9
perrkz,wabby_dabby,4
perrkz,nickoone,1
perrkz,rick_sanchez1998,7
perrkz,mkmarshall,1
perrkz,surrendernot2,5
perrkz,hallrs,7
sodapoppin,legoliket,1
perrkz,hallrs,7
perrkz,nickoone,3
perrkz,scarooo34,1
giantwaffle,dozajloster,3
perrkz,bloodreyna,4
xqcow,loksins,2
xqcow,xannuh,1
perrkz,na_less_semis_than_jankos,7
perrkz,hallrs,5
giantwaffle,lestark,1
sodapoppin,bigbourbon,6
perrkz,darkgeorok,3
giantwaffle,awwnuggetts_,5
perrkz,thatlatvianguy,6
perrkz,hallrs,5
perrkz,banned_for_thinking_it,3
perrkz,xulter,2
perrkz,svidler18,3
perrkz,kingroders,5
perrkz,geremarinero,1
perrkz,wabby_dabby,2
perrkz,dedicatestar,2
perrkz,hallrs,4
sodapoppin,diversitypanda,3
sodapoppin,thegreatcanadiangamer,1
perrkz,wheelboy,3
perrkz,nifftyyobro,9
perrkz,shagy_00,1
