case_order,channel,category
121,lo7drain,League of Legends
122,loltyler1,League of Legends
123,lordbakington,Food & Drink
124,lotsofbunnies,Just Chatting
125,lulaboo,Food & Drink
126,lutano_hots,Heroes of the Storm
127,luxxbunny,Just Chatting
127,luxxbunny,League of Legends
127,luxxbunny,Magic: The Gathering
127,luxxbunny,"Pokemon: Let's Go, Pikachu!/Eevee!"
127,luxxbunny,Warframe
128,mako_,Just Chatting
129,markiplier,Hand Simulator
129,markiplier,Just Chatting
129,markiplier,Ring Of Elysium
129,markiplier,Talk Shows & Podcasts
129,markiplier,The Jackbox Party Pack 5
129,markiplier,Uno
130,maryjleeee,ASMR
131,mega64podcast,Talk Shows & Podcasts
132,megam0gwai,Artifact
133,mertgunhan,Music & Performing Arts
134,mira,Fortnite
134,mira,Just Chatting
135,missing_talent,Hearthstone
135,missing_talent,Rocket League
136,mizkif,Call of Duty: Black Ops 4
136,mizkif,Depth
136,mizkif,Just Chatting
136,mizkif,Town of Salem
137,ms_tricky,Just Chatting
137,ms_tricky,Sports & Fitness
138,mtggoldfish,Magic: The Gathering
139,muyskerm,Hand Simulator
139,muyskerm,Just Chatting
139,muyskerm,Ring Of Elysium
140,mym_alkapone,Just Chatting
140,mym_alkapone,Minecraft
141,mythrilassassin,Just Chatting
142,naparoo,Hearthstone
143,necrony85,Hearthstone
144,nflredzone_1,Madden NFL 19
145,nicebeaver28,Just Chatting
146,nymn,American Truck Simulator
146,nymn,Dying Light
146,nymn,Euro Truck Simulator 2
146,nymn,Farming Simulator 19
146,nymn,Just Chatting
146,nymn,The Witcher 3: Wild Hunt
147,oh_bother,Makers & Crafting
148,old_guardian,Hearthstone
149,otherjesus,Hearthstone
150,paigeybun,Just Chatting
151,paresz,League of Legends
152,paymoneywubby,Just Chatting
153,pcgamer,Talk Shows & Podcasts
154,perrkz,League of Legends
155,peterhchau,Tom Clancy's Rainbow Six: Siege
156,phenomengames,Hearthstone
157,pinedaregine,Music & Performing Arts
158,planetside2,PlanetSide 2
159,playhearthstone,Hearthstone
160,playrescue,Just Chatting
160,playrescue,Travel & Outdoors
161,pokelawls,Barony
161,pokelawls,BeamNG.Drive
161,pokelawls,Black Desert Online
161,pokelawls,Golf It!
161,pokelawls,Haxball
161,pokelawls,Heroes of Hammerwatch
161,pokelawls,Just Chatting
161,pokelawls,Lost Ark Online
161,pokelawls,My Summer Car
161,pokelawls,Overwatch
161,pokelawls,Slay the Spire
161,pokelawls,Town of Salem
161,pokelawls,Warcraft III: The Frozen Throne
161,pokelawls,Witch It
161,pokelawls,vrchat
162,popedave,"Pokemon: Let's Go, Pikachu!/Eevee!"
163,projared,"Pokemon: Let's Go, Pikachu!/Eevee!"
164,purplevanderr,Hearthstone
165,rajjpatel,Just Chatting
166,rallied,Call of Duty: Black Ops 4
167,rdulive,Hearthstone
167,rdulive,Magic: The Gathering
168,reckful,Just Chatting
168,reckful,League of Legends
168,reckful,Magic: The Gathering
168,reckful,World of Warcraft
169,richwcampbell,World of Warcraft
170,rifftrax,Always On
171,rod_johnston,Hearthstone
172,rubius,Just Chatting
173,rubsarb,Pangya: Fantasy Golf
173,rubsarb,Talk Shows & Podcasts
